"","STUDY_ID","REVIEWERS","INCLUDE","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Source.Title","Book.Series.Title","Book.Series.Subtitle","Language","Document.Type","Conference.Title","Conference.Date","Conference.Location","Conference.Sponsor","Conference.Host","Author.Keywords","Keywords.Plus","Abstract","Addresses","Affiliations","Reprint.Addresses","Email.Addresses","Researcher.Ids","ORCIDs","Funding.Orgs","Funding.Name.Preferred","Funding.Text","Cited.References","Cited.Reference.Count","Times.Cited..WoS.Core","Times.Cited..All.Databases","X180.Day.Usage.Count","Since.2013.Usage.Count","Publisher","Publisher.City","Publisher.Address","ISSN","eISSN","ISBN","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","Supplement","Special.Issue","Meeting.Abstract","Start.Page","End.Page","Article.Number","DOI","DOI.Link","Book.DOI","Early.Access.Date","Number.of.Pages","WoS.Categories","Web.of.Science.Index","Research.Areas","IDS.Number","Pubmed.Id","Open.Access.Designations","Highly.Cited.Status","Hot.Paper.Status","Date.of.Export","UT..Unique.WOS.ID.","Web.of.Science.Record"
"177",532,"Kristen1","NO","J","Defeo, O; Castrejón, M; Ortega, L; Kuhn, AM; Gutiérrez, NL; Castilla, JC",NA,NA,NA,"Defeo, Omar; Castrejon, Mauricio; Ortega, Leonardo; Kuhn, Angela M.; Gutierrez, Nicolas L.; Carlos Castilla, Juan",NA,NA,"Impacts of Climate Variability on Latin American Small-scale Fisheries","ECOLOGY AND SOCIETY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small-scale fisheries (SSFs) are social-ecological systems that play a critical role in terms of food security and poverty alleviation in Latin America. These fisheries are increasingly threatened by anthropogenic and climatic drivers acting at multiple scales. We review the effects of climate variability on Latin American SSFs, and discuss the combined effects of two additional human drivers: globalization of markets and governance. We show drastic long-term and large-scale effects of climate variability, e.g., sea surface temperature anomalies, wind intensity, sea level, and climatic indices, on SSFs. These variables, acting in concert with economic drivers, have exacerbated stock depletion rates in Latin American SSFs. The impact of these drivers varied according to the life cycle and latitudinal distribution of the target species, the characteristics of the oceanographic systems, and the inherent features of the social systems. Our review highlights the urgent need to improve management and governance systems to promote resilience as a way to cope with the increasing uncertainty about the impacts of climate and globalization of markets on Latin American SSFs.",NA,NA,NA,NA,"Gutierrez, Nicolas/D-4026-2009","Castrejon, Mauricio/0000-0001-6942-386X; Defeo, Omar/0000-0001-8318-528X; Gutierrez, Nicolas L/0000-0002-4637-4695; Ortega, Leonardo/0000-0002-1254-2822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708-3087",NA,NA,NA,NA,NA,2013,18,"4",NA,NA,NA,NA,NA,NA,"30","10.5751/ES-05971-180430","http://dx.doi.org/10.5751/ES-05971-180430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000329431700030","View Full Record in Web of Science"
"178",544,"Kristen1","NO","J","Steger, C; Nigussie, G; Alonzo, M; Warkineh, B; Van Den Hoek, J; Fekadu, M; Evangelista, PH; Klein, JA",NA,NA,NA,"Steger, Cara; Nigussie, Girma; Alonzo, Michael; Warkineh, Bikila; Van Den Hoek, Jamon; Fekadu, Mekbib; Evangelista, Paul H.; Klein, Julia A.",NA,NA,"Knowledge coproduction improves understanding of environmental change in the Ethiopian highlands","ECOLOGY AND SOCIETY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knowledge coproduction that draws on local and scientific knowledge presents opportunities for more holistic understanding of environmental change. We describe our use of a multiple-evidence based approach to investigate the causes and consequences of environmental change in a community-protected grassland and its surrounding landscape in the Ethiopian highlands. We explore the interaction of biophysical change (precipitation and vegetation) and social change (political and management institutions), and discuss potential impacts for ecosystem service provisioning. We quantified current distributions of locally defined land use/cover classes using a supervised classification, with an overall accuracy of 87.1%. Local community members then described and ranked the ecosystem services associated with each land class according to their perceived importance for society. Vegetation and precipitation changes were assessed using satellite time series beginning in the early 1980s, while local narratives describe changes back to the 1970s. The knowledge coproduction process brought together ethnographic and remote sensing approaches, revealing both complementary and contradictory findings across knowledge systems. Results with high agreement across knowledge systems clarify and reinforce understanding of certain threats and changes to the area, such as the rapidly declining native forests, the disappearing belg rainy season (p = 0.01), and the impact of insecure land tenure on natural resource extraction. Compelling areas of disagreement point to topics in need of further investigation, including increased attention to the spatial and temporal variability of change across a seemingly homogeneous cultural landscape, and the process of shrub encroachment into the protected grassland.",NA,NA,NA,NA,"Dullo, Bikila Warkineh/AGX-9560-2022","Van Den Hoek, Jamon/0000-0001-8074-0022; Alonzo, Michael/0000-0001-9409-2740; Dullo, Bikila Warkineh/0000-0002-8488-4020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708-3087",NA,NA,NA,NA,"JUN",2020,25,"2",NA,NA,NA,NA,NA,NA,"2","10.5751/ES-11325-250202","http://dx.doi.org/10.5751/ES-11325-250202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000545036900001","View Full Record in Web of Science"
"179",545,"Kristen1","NO","J","Montiel-Aguilar, LJ; Sinagawa-García, SR; Rodríguez-Castillejos, GC; de la Rosa-Manzano, E; Niño-García, N; Torres-Castillo, JA",NA,NA,NA,"Jenet Montiel-Aguilar, Laura; Ramona Sinagawa-Garcia, Sugey; Concepcion Rodriguez-Castillejos, Guadalupe; de la Rosa-Manzano, Edilia; Nino-Garcia, Nohemi; Ariel Torres-Castillo, Jorge",NA,NA,"Intestinal Proteolytic Activity of Pterophylla beltrani Bolivar & Bolivar and its Sensitivity to Cations","SOUTHWESTERN ENTOMOLOGIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plants can protect themselves by damaging the digestion of insects. However, some insects can activate responses in their digestive system, more specifically in the insect midgut, to deal with plant defense compounds. This is of ecological relevance as a reflection of adaptive capability of insects. This work focused on digestive proteinases of Pterophylla beltrani Bolivar and Bolivar to evaluate if there were differences in expression profiles depending on sex and sensitivity to cations. Intestinal proteolytic activity in P. beltrani adults was determined by a colorimetric assay. Results were related to sex and 2 years of collection (2018 and 2019). Sensitivity was determined using different cations such as Ca, Mg, Mn, and Zn at 100 mM in the reaction mixture of proteolytic activity. Proteolytic activity was stable between years. Most activity was in males in 2019 (256,325 PAU/g) and to a lesser extent in females in 2018 (207,333.33 PAU/g) and 2019 (205,708.3 PAU/g). Proteolytic activity in the presence of Ca, Mg, and Mn was affected to a lesser percentage of 12% of remnant activity but diminished in the presence of Zn (53.7 to 73.5%). Results showed diversity regarding the presence and sensitivity of digestive proteinases in P. beltrani, which is of ecological importance because it could reflect ability to adapt to defenses of plants associated with diet.",NA,NA,NA,NA,"de la Rosa Manzano, Edilia/AAB-2465-2020; Sinagawa-García, Sugey/L-9370-2019; Castillejos, Guadalupe/AAQ-7169-2021; Torres-Castillo, Jorge A./AHC-8174-2022","Rodriguez Castillejos, Guadalupe Concepcion/0000-0003-0205-9340; Torres-Castillo, Jorge A./0000-0001-9311-7547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0147-1724","2162-2647",NA,NA,NA,"SEP",2021,46,"3",NA,NA,NA,NA,"637","646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000704721200005","View Full Record in Web of Science"
"180",548,"Kristen1","NO","J","Melbourne-Thomas, J; Johnson, CR; Perez, P; Eustache, J; Fulton, EA; Cleland, D",NA,NA,NA,"Melbourne-Thomas, Jessica; Johnson, Craig R.; Perez, Pascal; Eustache, Jeremy; Fulton, Elizabeth A.; Cleland, Deborah",NA,NA,"Coupling Biophysical and Socioeconomic Models for Coral Reef Systems in Quintana Roo, Mexican Caribbean","ECOLOGY AND SOCIETY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transdisciplinary approaches that consider both socioeconomic and biophysical processes are central to understanding and managing rapid change in coral reef systems worldwide. To date, there have been limited attempts to couple the two sets of processes in dynamic models for coral reefs, and these attempts are confined to reef systems in developed countries. We present an approach to coupling existing biophysical and socioeconomic models for coral reef systems in the Mexican state of Quintana Roo. The biophysical model is multiscale, using dynamic equations to capture local-scale ecological processes on individual reefs, with reefs connected at regional scales by the ocean transport of larval propagules. The agent-based socioeconomic model simulates changes in tourism, fisheries, and urbanization in the Quintana Roo region. Despite differences in the formulation and currencies of the two models, we were able to successfully modify and integrate them to synchronize and define information flows and feedbacks between them. A preliminary evaluation of the coupled model system indicates that the model gives reasonable predictions for fisheries and ecological variables and can be used to examine scenarios for future social-ecological change in Quintana Roo. We provide recommendations for where efforts might usefully be focused in future attempts to integrate models of biophysical and socioeconomic processes, based on the limitations of our coupled system.",NA,NA,NA,NA,"Fulton, Beth/A-2871-2008; Melbourne-Thomas, Jess/N-2437-2019; Johnson, Craig/E-1788-2013","Johnson, Craig/0000-0002-9511-905X; Fulton, Beth/0000-0002-5904-7917; Cleland, Deborah/0000-0001-5015-3054; Melbourne-Thomas, Jess/0000-0001-6585-876X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1708-3087",NA,NA,NA,NA,NA,2011,16,"3",NA,NA,NA,NA,NA,NA,"23","10.5751/ES-04208-160323","http://dx.doi.org/10.5751/ES-04208-160323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000295837100009","View Full Record in Web of Science"
"181",549,"Kristen1","NO","J","Tepolt, CK; Palumbi, SR",NA,NA,NA,"Tepolt, C. K.; Palumbi, S. R.",NA,NA,"Transcriptome sequencing reveals both neutral and adaptive genome dynamics in a marine invader","MOLECULAR ECOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Species invasions cause significant ecological and economic damage, and genetic information is important to understanding and managing invasive species. In the ocean, many invasive species have high dispersal and gene flow, lowering the discriminatory power of traditional genetic approaches. High-throughput sequencing holds tremendous promise for increasing resolution and illuminating the relative contributions of selection and drift in marine invasion, but has not yet been used to compare the diversity and dynamics of a high-dispersal invader in its native and invaded ranges. We test a transcriptome-based approach in the European green crab (Carcinus maenas), a widespread invasive species with high gene flow and a well-known invasion history, in two native and five invasive populations. A panel of 10809 transcriptome-derived nuclear SNPs identified significant population structure among highly bottlenecked invasive populations that were previously undifferentiated with traditional markers. Comparing the full data set and a subset of 9246 putatively neutral SNPs strongly suggested that non-neutral processes are the primary driver of population structure within the species' native range, while neutral processes appear to dominate in the invaded range. Non-neutral native range structure coincides with significant differences in intraspecific thermal tolerance, suggesting temperature as a potential selective agent. These results underline the importance of adaptation in shaping intraspecific differences even in high geneflow marine invasive species. They also demonstrate that high-throughput approaches have broad utility in determining neutral structure in recent invasions of such species. Together, neutral and non-neutral data derived from high-throughput approaches may increase the understanding of invasion dynamics in high-dispersal species.",NA,NA,NA,NA,NA,"Tepolt, Carolyn/0000-0002-7062-3452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0962-1083","1365-294X",NA,NA,NA,"AUG",2015,24,"16",NA,NA,NA,NA,"4145","4158",NA,"10.1111/mec.13294","http://dx.doi.org/10.1111/mec.13294",NA,NA,NA,NA,NA,NA,NA,26118396,NA,NA,NA,NA,"WOS:000359355900008","View Full Record in Web of Science"
"182",551,"Kristen1","NO","J","Saba, GK; Wright-Fairbanks, E; Chen, BS; Cai, WJ; Barnard, AH; Jones, CP; Branham, CW; Wang, K; Miles, TN",NA,NA,NA,"Saba, Grace K.; Wright-Fairbanks, Elizabeth; Chen, Baoshan; Cai, Wei-Jun; Barnard, Andrew H.; Jones, Clayton P.; Branham, Charles W.; Wang, Kui; Miles, Travis N.",NA,NA,"The Development and Validation of a Profiling Glider Deep ISFET-Based pH Sensor for High Resolution Observations of Coastal and Ocean Acidification","FRONTIERS IN MARINE SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coastal and ocean acidification can alter ocean biogeochemistry, with ecological consequences that may result in economic and cultural losses. Yet few time series and high resolution spatial and temporal measurements exist to track the existence and movement of water low in pH and/or carbonate saturation. Past acidification monitoring efforts have either low spatial resolution (mooring) or high cost and low temporal and spatial resolution (research cruises). We developed the first integrated glider platform and sensor system for sampling pH throughout the water column of the coastal ocean. A deep ISFET (Ion Sensitive Field Effect Transistor)-based pH sensor system was modified and integrated into a Slocum glider, tank tested in natural seawater to determine sensor conditioning time under different scenarios, and validated in situ during deployments in the U.S. Northeast Shelf (NES). Comparative results between glider pH and pH measured spectrophotometrically from discrete seawater samples indicate that the glider pH sensor is capable of accuracy of 0.011 pH units or better for several weeks throughout the water column in the coastal ocean, with a precision of 0.005 pH units or better. Furthermore, simultaneous measurements from multiple sensors on the same glider enabled salinity-based estimates of total alkalinity (A(T)) and aragonite saturation state (Omega(Arag)). During the Spring 2018 Mid-Atlantic deployment, glider pH and derived A(T)/Omega(Arag) data along the cross-shelf transect revealed higher pH and Omega(Arag) associated with the depth of chlorophyll and oxygen maxima and a warmer, saltier water mass. Lowest pH and Omega(Arag) occurred in bottom waters of the middle shelf and slope, and nearshore following a period of heavy precipitation. Biofouling was revealed to be the primary limitation of this sensor during a summer deployment, whereby offsets in pH and A(T) increased dramatically. Advances in anti-fouling coatings and the ability to routinely clean and swap out sensors can address this challenge. The data presented here demonstrate the ability for gliders to routinely provide high resolution water column data on regional scales that can be applied to acidification monitoring efforts in other coastal regions.",NA,NA,NA,NA,"Cai, Wei-Jun/C-1361-2013; Miles, Travis/L-7918-2013","Miles, Travis/0000-0003-1992-0248; Cai, Wei-Jun/0000-0003-3606-8325; Wright-Fairbanks, Elizabeth/0000-0003-1265-6616; Branham, Charles/0000-0002-4012-6519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2296-7745",NA,NA,NA,"OCT 30",2019,6,NA,NA,NA,NA,NA,NA,NA,"664","10.3389/fmars.2019.00664","http://dx.doi.org/10.3389/fmars.2019.00664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000493319500001","View Full Record in Web of Science"
"183",553,"Kristen1","NO","J","Chassé, P; Blatrix, C; Frascaria-Lacoste, N",NA,NA,NA,"Chasse, Pierre; Blatrix, Cecile; Frascaria-Lacoste, Nathalie",NA,NA,"Determining the location of protected areas in France: Does scientific interest matter?","PERSPECTIVES IN ECOLOGY AND CONSERVATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protected areas are one of the main policy instruments used by policymakers to tackle the current biodiversity crisis. While numerous studies highlight the inability of such areas to protect the full range of biodiversity, the procedures by which protected areas are created nevertheless remain understudied. A better understanding of the related policy processes is necessary to overcome the research-implementation gap and, hopefully, decrease biodiversity loss. This article seeks to fill this blind spot in conservation by conducting interdisciplinary research at the crossroads of ecology and policy studies. We applied mixed methods (i.e. quantitative and qualitative analysis) to the historical archives of national nature reserve (NNR) projects to identify the weight of scientific statements and other factors involved in the decision-making process. Our results reveal a two-step process. Scientific opinion about NNR projects operates as the primary filter. Then, another triage is made under social, political and economic interests. Such situation challenges the idea that more evidence would lead to better conservation. In our opinion, the key issue is to determine the ways to improve the success of NNR projects rather than improving data and algorithms. In this sense, we call for the implementation of an informed opportunism approach and suggest some leads to favor its practical application. This research highlights the importance of interdisciplinary research to reach conservation goals. (C) 2021 Associaca tilde o Brasileira de Cie circumflex accent ncia Ecol ogica e Conservaca tilde o. Published by Elsevier B.V.",NA,NA,NA,NA,NA,"Chasse, Pierre/0000-0002-1676-799X; Blatrix, Cecile/0000-0003-3102-4446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2530-0644",NA,NA,NA,NA,"JUL-SEP",2021,19,"3",NA,NA,NA,NA,"379","386",NA,"10.1016/j.pecon.2021.03.006","http://dx.doi.org/10.1016/j.pecon.2021.03.006",NA,"AUG 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000684303700016","View Full Record in Web of Science"
"184",555,"Kristen1","NO","J","Lavergne, C; Cabrol, L; Cuadros-Orellana, S; Quinteros-Urquieta, C; Stoll, A; Yáñez, C; Tapia, J; Orlando, J; Rojas, C",NA,NA,NA,"Lavergne, Celine; Cabrol, Lea; Cuadros-Orellana, Sara; Quinteros-Urquieta, Carolina; Stoll, Alexandra; Yanez, Carolina; Tapia, Joseline; Orlando, Julieta; Rojas, Claudia",NA,NA,"Rising awareness to improve conservation of microorganisms in terrestrial ecosystems: advances and future directions in soil microbial diversity from Chile and the Antarctic Peninsula","FRONTIERS IN ENVIRONMENTAL SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil ecosystems are important reservoirs of biodiversity, as they are the most diverse habitat on Earth. Microbial biodiversity plays key roles in many ecosystem services, including the support to biogeochemical cycles. However, despite great advances in the understanding of the role of soil microbiota in providing benefits to nature and humankind, there is still much knowledge to be gained from understudied areas across the globe. Indeed, underrepresentation of the Global South in ecological studies has been suggested as an important gap that could compromise global solutions to conservation and the current biodiversity and climate crisis. In the Southern hemisphere, the southwest of South America, which includes Chile, runs behind the rest of the continent on studies related to soil microbial diversity and ecosystem functions. Therefore, to gain a better understanding of the global biodiversity and environment crisis, essential perspectives and knowledge from underrepresented regions need to be acknowledged to avoid biases in the scientific community. The main objective of this work is to understand how soil microbial diversity has been studied in Chile and the Antarctic Peninsula since 1975 to identify main knowledge gaps and funding opportunities for future research. Our survey consists of 343 articles representing 1,335 sampling points from Continental Chile to the Antarctic Peninsula. It revealed a better representation of articles studying bacterial and fungal diversity in the extreme regions of Chile funded by both international funds and the National Agency for Research and Development (ANID). To study microbial diversity, cultivation-based methods are still the most commonly used, whereas molecular studies are increasing but insufficiently applied. We have identified and argued the need to enhance collaborative multi- and interdisciplinary efforts, fundings for sequencing effort, and long-term studies to provide robust and informative knowledge about soil microbial communities.",NA,NA,NA,NA,"Yáñez, Carolina/JCO-4489-2023; Tapia, Joseline/AAH-4000-2019; Stoll, Alexandra/ABD-4733-2021; Lavergne, Céline/B-4208-2015; Orlando, Julieta/E-1399-2014; Rojas, Claudia/AAG-5797-2020; Cabrol, Lea/L-2438-2016; Quinteros-Urquieta, Carolina/AAZ-3305-2021; Yanez, Carolina/F-6114-2013; Cuadros-Orellana, Sara/I-7331-2012","Yanez, Carolina/0000-0003-3969-2078; Tapia, Joseline/0000-0002-1516-2622; Cuadros-Orellana, Sara/0000-0002-0602-7867; Rojas-Alvarado, Claudia/0000-0001-7727-2862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2296-665X",NA,NA,NA,"FEB 15",2024,12,NA,NA,NA,NA,NA,NA,NA,"1326158","10.3389/fenvs.2024.1326158","http://dx.doi.org/10.3389/fenvs.2024.1326158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001171758100001","View Full Record in Web of Science"
"185",557,"Kristen1","NO","J","Lampis, A; Brink, E; Carrasco-Torrontegui, A; dos Santos, AH; Solórzano-Lemus, E; Vásquez-Arango, C",NA,NA,NA,"Lampis, Andrea; Brink, Ebba; Carrasco-Torrontegui, Amaya; dos Santos, Agni Hevea; Solorzano-Lemus, Estuardo; Vasquez-Arango, Claudia",NA,NA,"Reparation ecology and climate risk in Latin-America: Experiences from four countries","FRONTIERS IN CLIMATE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPCC's Sixth Assessment is a landmark in recognizing social justice and local knowledge as imperative for successful climate adaptation; however, taking this new scientific consensus seriously has profound implications. While narratives of fossil fuel companies and closing climate windows often dominate climate politics, there is an urgent need for new thinking frames, especially given that everyday adaptations by the most vulnerable are often hindered by incumbent actors at more local scales. In response, this paper tackles the issue of climate risk and human wellbeing in Latin America from an emerging and innovative perspective: reparation ecology. Reparation is a heuristic category by means of which we systematize converging evidence about the responses of local Latin-American communities to severe socio-environmental crises that are closely connected to climate risks and to long-lasting threats to the wellbeing of human societies and ecosystems. The results focus on a comparative analysis of five case studies on nature-based urban adaptation in two low-income settlements in Brazil; local ecological governance led by actors from the organized civil society in Colombia; agroecological and just innovative food production systems in Ecuador and sustainable urban-rural food markets in Guatemala. Assuming the complexity of climate change from a culturally and geographically located perspective, the paper unveils the non-doomed, ecologically reparative character of these initiatives. It therefore contributes to the recent turn in the debate on climate risk, claiming that diverse groups of people and communities around the world are contributing to radical change, tuning their behaviors and social arrangements in what an emerging scholarship defines as reparation ecology.",NA,NA,NA,NA,"Lampis, Andrea/ABI-1820-2020","Solorzano, Estuardo/0000-0002-2432-8751; Lampis, Andrea/0000-0002-1561-5409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2624-9553",NA,NA,NA,"OCT 13",2022,4,NA,NA,NA,NA,NA,NA,NA,"897424","10.3389/fclim.2022.897424","http://dx.doi.org/10.3389/fclim.2022.897424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001019239000001","View Full Record in Web of Science"
"186",558,"Kristen1","NO","J","Estrada-Gutiérrez, KM; Hernández-Almeida, OU; Siqueiros-Beltrones, DA; Flores-Ortega, JR",NA,NA,NA,"Estrada-Gutierrez, K. M.; Hernandez-Almeida, O. U.; Siqueiros-Beltrones, D. A.; Flores-Ortega, J. R.",NA,NA,"First record of Cymatodiscus planetophorus (Bacillariophyta) for littorals of NW Mexico; ecological remarks","REVISTA BIO CIENCIAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As part of a floristic analysis of diatoms (Bacillariophyta) at Reserva de la Biosfera Marismas Nacionales in Nayarit, Mexico, Cymatodiscus planetophorus is recorded for the first time in the northwestern coasts of Mexico. Samples were collected from various substrata in estuarine wetlands in areas of production and fishing of pleasure oyster Crassostrea corteziensis and mullet Mugil curema, respectively. Specimens of C. planetophorus were successfully distinguished of Cymatotheca weissflogu based on meristic and morphological characteristics using optic microscopy. Their frequency and abundance on the inspected substrata confirm the benthic/tychoplanktic habit of this taxon. Both M. curema and C. corteziensis are added to the list of consumers of C. planetophorus; the latter also as a new substrate. Complementary ecological remarks are provided.",NA,NA,NA,NA,"Hernández Almeida, Oscar Ubisha/HKN-9866-2023","Estrada Gutierrez, Kathie Monserrat/0000-0002-0726-5517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-3380",NA,NA,NA,NA,NA,2022,9,NA,NA,NA,NA,NA,NA,NA,"e1176","10.15741/revbio.09.e1176","http://dx.doi.org/10.15741/revbio.09.e1176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000769423400001","View Full Record in Web of Science"
"187",561,"Kristen1","NO","J","Nagy, K; Abraham, A; Keymer, JE; Galajda, P",NA,NA,NA,"Nagy, Krisztina; Abraham, Agnes; Keymer, Juan E.; Galajda, Peter",NA,NA,"Application of Microfluidics in Experimental Ecology: The Importance of Being Spatial","FRONTIERS IN MICROBIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microfluidics is an emerging technology that is used more and more in biology experiments. Its capabilities of creating precisely controlled conditions in cellular dimensions make it ideal to explore cell-cell and cell-environment interactions. Thus, a wide spectrum of problems in microbial ecology can be studied using engineered microbial habitats. Moreover, artificial microfluidic ecosystems can serve as model systems to test ecology theories and principles that apply on a higher level in the hierarchy of biological organization. In this mini review we aim to demonstrate the versatility of microfluidics and the diversity of its applications that help the advance of microbiology, and in more general, experimental ecology.",NA,NA,NA,NA,NA,"Galajda, Peter/0000-0003-3308-088X; Nagy, Krisztina/0000-0001-7933-9514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1664-302X",NA,NA,NA,NA,"MAR 20",2018,9,NA,NA,NA,NA,NA,NA,NA,"496","10.3389/fmicb.2018.00496","http://dx.doi.org/10.3389/fmicb.2018.00496",NA,NA,NA,NA,NA,NA,NA,29616009,NA,NA,NA,NA,"WOS:000541902800001","View Full Record in Web of Science"
"188",563,"Kristen1","NO","J","Radulescu, C; Stihi, C; Popescu, IV; Nitescu, VO; Dulama, ID; Gheboianu, AI; Chilian, A; Bucurica, A; Bancuta, OR",NA,NA,NA,"Radulescu, Cristiana; Stihi, Claudia; Popescu, Ion V.; Nitescu, Vasile Ovidiu; Dulama, Ioana Daniela; Gheboianu, Anca Irina; Chilian, Andrei; Bucurica, Alin; Bancuta, Oana Roxana",NA,NA,"ANALYSIS OF WASTE WATER FROM ECOLOGICAL CAR WASH - A CASE STUDY","JOURNAL OF SCIENCE AND ARTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wastewaters resulted from different stages of washing process from ecological car wash were investigated for its physicochemical parameters and several heavy metals contents. For this purpose 75 samples were collected and analyzed by conductometric, potentiometric techniques and by Flame Atomic Absorption Spectrometry during of November 2010. The results showed that the amount of zinc, copper, cadmium and lead elements in wastewater samples were higher than the Maximum Admitted Level (MAL) values for investigated heavy metals, according to the Order 161/2006, after washing different cars in one week (from Monday to Friday at 14,00). The increase of Pb, Cu, Cd, and Zn concentrations is visible (average weekly collections) and these were higher especially on rainy days when cars came with a load more visible than in the days with good weather. In according with the Order 161/2006, regarding pH tolerance limit, the mean pH values for all collected samples were between 6.00 and 9.00. The temperature ranged between 14.10 - 17.10 degrees C with an average value of 14.91 +/- 1.61 degrees C. The highest values for conductivity, turbidity and TDS was found for samples Sp2, Sp5, Sp8, Sp11 and Sp14, before entrance in the first separator.",NA,NA,NA,NA,"Stihi, Claudia/B-6694-2011; Bucurica, Ioan/AAB-1261-2019; Chilian, Andrei/AHB-8448-2022; Radulescu, Cristiana/B-4847-2011; DULAMA, Ioana-Daniela/K-5095-2013; gheboianu, anca irina/F-9639-2011; Stihi, Claudia/D-5529-2019","DULAMA, Ioana-Daniela/0000-0003-0200-0867; gheboianu, anca irina/0000-0001-5380-4553; Stihi, Claudia/0000-0002-2058-1856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1844-9581",NA,NA,NA,NA,NA,2011,NA,"2",NA,NA,NA,NA,"193","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000420597900008","View Full Record in Web of Science"
"189",564,"Kristen1","maybe","J","Lippert, I; Krause, F; Hartmann, NK",NA,NA,NA,"Lippert, Ingmar; Krause, Franz; Hartmann, Niklas Klaus",NA,NA,"Environmental management as situated practice","GEOFORUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We propose an analysis of environmental management (EM) as work and as practical activity. This approach enables empirical studies of the diverse ways in which professionals, scientists, NGO staffers, and activists achieve the partial manageability of specific environments. In this introduction, we sketch the debates in Human Geography, Management Studies, and Science and Technology Studies to which this special issue contributes. We identify the limits of understanding EM though the framework of ecological modernisation, and show how political ecology and work-place studies provide important departures towards a more critical approach. Developing these further, into a cosmopolitical direction, we propose studying EM as sets of socially and materially situated practices. This enables a shift away from established approaches which treat EM either as a toolbox whose efficiency has to be assessed, or as simply the implementation of dominant projects and the materialisation of hegemonic discourse. Such a shift renders EM as always messy practices of engagement, critique and improvisation. We conclude that studying the distributed and situated managing agencies, actors and their practices allows to imagine new forms of critical interventions. (C) 2015 Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,"Krause, Franz/AAJ-9142-2021","Krause, Franz/0000-0003-0914-7060; Lippert, Ingmar/0000-0002-1683-6983; Hartmann, Niklas/0000-0002-7328-3625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0016-7185","1872-9398",NA,NA,NA,"NOV",2015,66,NA,NA,NA,NA,NA,"107","114",NA,"10.1016/j.geoforum.2015.09.006","http://dx.doi.org/10.1016/j.geoforum.2015.09.006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000364885000011","View Full Record in Web of Science"
